,Unnamed: 0,Unnamed: 1,CarryOut Express Groody,Full Description,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,,,,,,,,,,,,Start Dept: A
1,,,,,,,,,,,,End Dept: Z
148,40099361,70274,WRIGLEYS EXTRA PEPPERMINT,WRIGLEYS EXTRA PEPPERMINT 10 PC,BARRYS,,,,0,0,24,
149,,,10 PC,,,,,,,,,
150,50173686,70269,WRIGLEYS EXTRA SPEARMINT,WRIGLEYS EXTRA SPEARMINT 10 PC,BARRYS,,,,0,0,32,
151,,,10 PC,,,,,,,,,
152,42112907,70276,WRIGLEYS EXTRA,WRIGLEYS EXTRA STRAWBERRY 10PC,BARRYS,,,,0,0,14,
153,,,STRAWBERRY 10PC,STRAWBERRY 10PC ,,,,,,,,
154,,,,,,,,,0,0,503,
155,CA,,MINERALS,MINERALS ,,,,,,,,
156,,,,,,,,,,,,
157,4060800305619,1400040,7 UP 2L,7 UP 2L ,BARRYS,,,,0,0,19,
158,,,,,,,,,,,,
159,40608136,1400036,7 UP CAN 330ML,7 UP CAN 330ML ,BARRYS,,,,0,0,29,
160,,,,,,,,,,,,
161,40608174,1400037,7 UP CONTOUR BOTTLE 500ML,,BARRYS,,,,0,0,14,
162,87170726,65005,7 UP FREE CONTOUR BOTTLE,7 UP FREE CONTOUR BOTTLE 500ML,BARRYS,,,,0,0,52,
163,,,500ML,500ML ,,,,,,,,
164,,,,,,,,,,,,
165,4199020100,65444,BALLYGOWAN SPARKLING 2L,BALLYGOWAN SPARKLING 2L ,BARRYS,,,,0,0,77,
166,,,,,,,,,,,,
167,4199020001,65443,BALLYGOWAN STILL 2L,BALLYGOWAN STILL 2L ,BARRYS,,,,0,0,1,
168,,,,,,,,,,,,
169,41990050019,65401,BALLYGOWAN STILL 500ML,,BARRYS,,,,0,0,49,
170,5099483950235,65455,BALLYGOWAN STILL,BALLYGOWAN STILL SPORTSCAP 1L,BARRYS,,,,0,0,1,
171,,,SPORTSCAP 1L,SPORTSCAP 1L ,,,,,,,,
172,,,,,,,,,,,,
173,5056079900272,,BOOST ENERGY CAN 250ML,BOOST ENERGY CAN 250ML ,GLEES,,,,0,0,5,
174,,,,,,,,,,,,
175,5060466513792,65688,BPM FOCUS 500ML,,BARRYS,,,,0,0,68,
